SN,redshift,distancemodulus,sigma
SN1,0.015,34.1114109643,0.213388869977
SN2,0.015,34.3797728047,0.217348534701
SN3,0.015,34.1635038861,0.161452856549
SN4,0.0150270427632,33.9501915023,0.178117024083
SN5,0.0151,34.5258752881,0.213682160531
SN6,0.015166,34.1016666152,0.215239340732
SN7,0.0152,34.2583697939,0.241474862259
SN8,0.0152,34.0169042989,0.21507123117
SN9,0.0153,34.7071857289,0.213242896074
SN10,0.0154363,33.9409483971,0.148694109648
SN11,0.016,33.824608888,0.207959703185
SN12,0.016,34.1740153938,0.221115374688
SN13,0.0163,34.453252912,0.212891042717
SN14,0.016321,34.0174211141,0.204965074268
SN15,0.016345641,34.0440277752,0.142912931364
SN16,0.01645,34.1812962858,0.250896560248
SN17,0.016559,34.3438338071,0.251177496491
SN18,0.01673,34.2263371692,0.209464670311
SN19,0.016743,34.0027278026,0.248385125526
SN20,0.016991,34.3787718073,0.309889810973
SN21,0.017173,34.2606714573,0.248216009365
SN22,0.017227,34.6543699503,0.199337179559
SN23,0.0173,34.2300660446,0.220994474003
SN24,0.0173,34.2497347985,0.215508499624
SN25,0.017605,34.3437956957,0.271650644819
SN26,0.0179312833626,34.3498200027,0.155413940574
SN27,0.0183152320362,34.3717548996,0.160464926406
SN28,0.0187,35.0482998472,0.197196789214
SN29,0.0189,34.3747016599,0.209571630196
SN30,0.0192,34.4915623332,0.197091647943
SN31,0.0192,34.7366784514,0.197842881265
SN32,0.019264,34.9526137319,0.24063381695
SN33,0.0195,34.75691168,0.197526188093
SN34,0.019599,34.5852174312,0.184691219687
SN35,0.0203747245299,34.6564438473,0.145603349944
SN36,0.0205,34.6172800695,0.191412743444
SN37,0.0208,34.7954563657,0.201629405401
SN38,0.0209,34.7028984995,0.19422693515
SN39,0.0211,34.6607182426,0.188393367669
SN40,0.0212,34.8471345313,0.19152972211
SN41,0.0215,34.9327363282,0.187040817965
SN42,0.021793,34.9737868712,0.232449382954
SN43,0.0219,34.8489904808,0.188387184264
SN44,0.0219800059146,34.8529733574,0.187544764358
SN45,0.0221,34.9221291018,0.189014756295
SN46,0.0221,34.9115497582,0.189960682839
SN47,0.0224,34.9470872022,0.239011369258
SN48,0.0229,35.1386260702,0.183018039949
SN49,0.0229,35.1968671677,0.185459075264
SN50,0.0229711675782,35.133882951,0.135640926041
SN51,0.023,35.0706425048,0.186848384979
SN52,0.023208,35.0855427174,0.231479604833
SN53,0.0233,35.1983574195,0.185738575456
SN54,0.0233,34.8821286745,0.183424685088
SN55,0.023536,35.1695990888,0.234698201629
SN56,0.0239,35.0349741436,0.181392417208
SN57,0.023953,34.9687103775,0.107041197195
SN58,0.024,35.1761857794,0.195512674436
SN59,0.0241852990802,35.052324275,0.133368622118
SN60,0.0242,35.1893805829,0.180174916343
SN61,0.024314,35.1094950645,0.181662706307
SN62,0.024525,35.0581706649,0.102438504345
SN63,0.0247,34.9136928277,0.181621011598
SN64,0.0248,35.2561775084,0.184605302796
SN65,0.0249,34.8037070766,0.193523924165
SN66,0.0251,34.9482752367,0.179222700336
SN67,0.0255,35.7201731359,0.196167302112
SN68,0.0256,35.6847217932,0.186173891969
SN69,0.0259,35.4159686901,0.178489658823
SN70,0.026,35.3812932276,0.183933665117
SN71,0.026038,35.3672620682,0.108499792159
SN72,0.0261,35.3604177873,0.192469561714
SN73,0.026489,35.4806851993,0.19131226974
SN74,0.0266,35.3234935897,0.177716836428
SN75,0.0268091974805,35.2601505395,0.127879595703
SN76,0.027342,35.085765693,0.175510835947
SN77,0.0275,35.6497059082,0.176364688958
SN78,0.0275687259109,35.4754718132,0.128117983088
SN79,0.0277,35.7050037726,0.183298735051
SN80,0.027865,35.0933783283,0.222426416634
SN81,0.0283,35.5202699542,0.180124445838
SN82,0.0283960268116,35.5481484694,0.125198881719
SN83,0.028488,35.3465833928,0.223905932998
SN84,0.0292,35.9925667846,0.174820107635
SN85,0.029802136901,35.4709217104,0.122226817874
SN86,0.029955,35.9722578275,0.224368551768
SN87,0.0303,35.6282613469,0.17674738626
SN88,0.030529,35.5992457186,0.088750663709
SN89,0.030604,35.5502377594,0.173295444142
SN90,0.0308,35.5935042223,0.172493084423
SN91,0.0308,35.7791362444,0.173310004596
SN92,0.0308,35.6289808082,0.178370444318
SN93,0.0309,35.9294728801,0.183689296262
SN94,0.0312,35.8828585622,0.173762463024
SN95,0.0312,35.6268097646,0.180216697419
SN96,0.0315,35.651136343,0.170993523745
SN97,0.031528,35.7287687764,0.225362488845
SN98,0.032,35.5884973241,0.173446310936
SN99,0.032,35.8266913419,0.193104691662
SN100,0.0321,35.8703618342,0.1737410077
SN101,0.0321,35.6480768335,0.175025422739
SN102,0.0321,35.8959945722,0.173845159832
SN103,0.0321340168614,35.3781278853,0.127512090116
SN104,0.0325,35.8130914151,0.170394735896
SN105,0.0327,36.0941672133,0.16949230504
SN106,0.0329,35.9417685428,0.170393175896
SN107,0.0329123710881,35.9678520173,0.118114324121
SN108,0.0334,35.8799403015,0.1757727334
SN109,0.0335,35.9738325393,0.170490251613
SN110,0.0336,36.0053945507,0.18852047363
SN111,0.0337,35.8436933159,0.179737453597
SN112,0.0341,35.770474764,0.177569140796
SN113,0.0341,35.9425408413,0.172834591542
SN114,0.0341,35.8419046981,0.175222461707
SN115,0.0345,35.9782444842,0.211562474249
SN116,0.03572,35.9605406407,0.171186987363
SN117,0.036,36.146298861,0.177000363965
SN118,0.036,35.679259682,0.179022122406
SN119,0.036,35.8210170957,0.167885249541
SN120,0.0362,35.9868705998,0.171742204068
SN121,0.036457,36.1342331256,0.217628588382
SN122,0.03648,35.9053219652,0.170174952845
SN123,0.0366,35.9712906539,0.168963687947
SN124,0.0377,35.7952144325,0.294106560612
SN125,0.0393,36.3343950149,0.0991005283825
SN126,0.0402,36.3745330785,0.17063734958
SN127,0.0406,36.3656351257,0.172317344841
SN128,0.0421,36.4004650275,0.169930417471
SN129,0.042233,36.3364595483,0.167174042338
SN130,0.0423,36.392825896,0.171582196702
SN131,0.0425,35.9281018139,0.195296013078
SN132,0.0437189114895,36.3865660158,0.127214292529
SN133,0.0449766726113,36.5503954158,0.108342547225
SN134,0.045295,36.6402721756,0.164981248644
SN135,0.0469673346156,36.4944134465,0.110309142172
SN136,0.0483921953954,36.6858343824,0.119215628214
SN137,0.048818,36.3820107761,0.160299265066
SN138,0.048948,36.7315973987,0.172547618731
SN139,0.0491,36.7301358821,0.175843223164
SN140,0.049922,36.5669734706,0.162303819627
SN141,0.050043,36.6823679154,0.166828851413
SN142,0.0522,36.6743146094,0.189117803003
SN143,0.052926,36.8176912545,0.1557559148
SN144,0.05371,36.4764384949,0.221700260552
SN145,0.0544,36.9544354105,0.0860953525286
SN146,0.0546,36.6095585146,0.176655181089
SN147,0.0566833670752,36.9636230671,0.110070937939
SN148,0.0576,37.0802566571,0.161852672221
SN149,0.0583,37.0582881494,0.16808968138
SN150,0.0583,37.0326301671,0.206256669369
SN151,0.0589,37.1116475131,0.16568235078
SN152,0.0618357646938,37.1309944806,0.115680071342
SN153,0.062668,37.4834093505,0.156099434739
SN154,0.0638640836964,37.3159416121,0.119614965162
SN155,0.0643,37.1755022179,0.166008010074
SN156,0.0651,37.3066907976,0.162808584338
SN157,0.0664403123402,37.3721050548,0.1175824014
SN158,0.0684,37.7311969845,0.170591643132
SN159,0.0688,37.4866356466,0.198025808769
SN160,0.069,37.566047978,0.176163639895
SN161,0.070086,37.4467365424,0.158466934433
SN162,0.074605,37.5881157565,0.15977086456
SN163,0.0753501119815,37.5800899168,0.102274672969
SN164,0.0784,37.6822404534,0.0872168046336
SN165,0.078577,37.4881622607,0.155635656185
SN166,0.0800481440021,37.6857093353,0.101968492144
SN167,0.0843,38.0518311208,0.200253645227
SN168,0.0856894593607,37.9974134061,0.116365280048
SN169,0.0856961170652,37.9937917107,0.117971237872
SN170,0.0858546441437,37.9524441212,0.112589853288
